DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem
"39, Bến Vân Đồn, Phường 13, Quận 4, Tp Hồ Chí Minh","1,58 tỷ",The Tresor,78 m²,Đã bàn giao,"20,26 triệu/m²",2 phòng,2 phòng,8,,,Đông Nam,Tây Bắc,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,4 tỷ",Saigon Riverside Complex Q7,66 m²,Đã bàn giao,"36,36 triệu/m²",2 phòng,2 phòng,,,,,,
"Đường Tân Chánh Hiệp 21, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","1,62 tỷ",Hưng Ngân Garden,56 m²,Đã bàn giao,"28,93 triệu/m²",1 phòng,,12,Đã có sổ,,,,
"Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","1,37 tỷ",EHome 3,51 m²,Đã bàn giao,"26,86 triệu/m²",2 phòng,2 phòng,,,,,,
"Hồng Hà, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh","3,8 tỷ",Botanica Premier,69 m²,Đã bàn giao,"55,07 triệu/m²",2 phòng,2 phòng,,,,,,
"104, Phổ Quang, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",3 tỷ,The Botanica,53 m²,Chưa bàn giao,"56,6 triệu/m²",1 phòng,1 phòng,4,,,,,
"119, Phổ Quang, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh","4,3 tỷ",Golden Mansion,75 m²,Đã bàn giao,"57,33 triệu/m²",2 phòng,2 phòng,10,,,,,
"Khu số 15A1, Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","3,6 tỷ",Dragon Hill Residence And Suites 1,119.5 m²,Đã bàn giao,"30,13 triệu/m²",3 phòng,2 phòng,,Đã có sổ,Nhà trống,,,
"Đường Tân Chánh Hiệp 21, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","2,05 tỷ",Hưng Ngân Garden,68 m²,Đã bàn giao,"30,15 triệu/m²",2 phòng,2 phòng,16,,,,Bắc,
"Số 18, Gò Dưa, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,96 tỷ",Sunview Town,58 m²,Đã bàn giao,"33,79 triệu/m²",2 phòng,2 phòng,,,,Đông Nam,,
"6, 18, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,9 tỷ",,54 m²,Chưa bàn giao,"35,19 triệu/m²",2 phòng,2 phòng,,,,Nam,Đông Nam,
"819, Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh","2,2 tỷ",Saigon Homes Bình Tân,80 m²,Đã bàn giao,"27,5 triệu/m²",3 phòng,,,,Nhà trống,,Đông Nam,Căn góc
"Ni Sư Huỳnh Liên, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh","2,9 tỷ",,70 m²,Đã bàn giao,"41,43 triệu/m²",2 phòng,2 phòng,8,,,,Tây,
"Tân Chánh Hiệp, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","1,85 tỷ",Hưng Ngân Garden,68 m²,Đã bàn giao,"27,21 triệu/m²",2 phòng,2 phòng,18,,,,Nam,
"119, Phổ Quang, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh",7 tỷ,Golden Mansion,105 m²,Đã bàn giao,"66,67 triệu/m²",3 phòng,2 phòng,20,,,,Nam,
"Nguyễn Xiển, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,05 tỷ",Lumiere Boulevard,55 m²,Chưa bàn giao,"19,09 triệu/m²",1 phòng,1 phòng,,,,,,
"Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","3,6 tỷ",,75 m²,Đã bàn giao,48 triệu/m²,2 phòng,2 phòng,,Đã có sổ,,,,
"36 36 Đường Trịnh Đình Thảo, Phường Hòa Thạnh, Tân Phú, Hồ Chí Minh, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","2,05 tỷ",Lotus Garden,80 m²,Đã bàn giao,"25,63 triệu/m²",3 phòng,2 phòng,,Đã có sổ,,Đông Nam,,
"Số 207, Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",3 tỷ,Richmond City,66 m²,Đã bàn giao,"45,45 triệu/m²",2 phòng,,,,,,,
"Long Trường, Phường Long Trường (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,8 tỷ",Centana Điền Phúc Thành,100 m²,Chưa bàn giao,38 triệu/m²,2 phòng,1 phòng,,,,,,
"Đường Số 20, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,7 tỷ",,68 m²,Đã bàn giao,25 triệu/m²,2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","3,25 tỷ",Celadon City,71 m²,Đã bàn giao,"45,77 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,Nhà trống,,,
"Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","2,3 tỷ",Belleza Apartment,88 m²,Đã bàn giao,"26,14 triệu/m²",2 phòng,2 phòng,,,,Đông Nam,Tây Bắc,
"Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","3,05 tỷ",Belleza Apartment,124 m²,Đã bàn giao,"24,6 triệu/m²",3 phòng,2 phòng,,,,Đông Bắc,Đông Nam,
"Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","2,15 tỷ",Belleza Apartment,76 m²,Đã bàn giao,"28,29 triệu/m²",2 phòng,2 phòng,,,,Đông Bắc,Đông Nam,
"Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","1,55 tỷ",Belleza Apartment,45 m²,Đã bàn giao,"34,44 triệu/m²",1 phòng,1 phòng,,,,Đông Nam,Tây Bắc,
"Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","1,55 tỷ",Saigon Pearl,80 m²,Đã bàn giao,"19,38 triệu/m²",2 phòng,2 phòng,17,,,,,
"Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","1,8 tỷ",Tecco Green Nest,58 m²,Đã bàn giao,"31,03 triệu/m²",2 phòng,2 phòng,8,,,Đông Nam,,
"Số 504, Nguyễn Tất Thành, Phường 18, Quận 4, Tp Hồ Chí Minh","3,79 tỷ",Riva Park,80 m²,Đã bàn giao,"47,38 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"đường Tân Chánh Hiệp 21, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","1,9 tỷ",Hưng Ngân Garden,73 m²,Đã bàn giao,"26,03 triệu/m²",2 phòng,2 phòng,16,,,,Bắc,
"Phạm Văn Đồng, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","4,3 tỷ",St Moritz,78 m²,Đã bàn giao,"55,13 triệu/m²",2 phòng,2 phòng,,,,,,
"Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,45 tỷ",Lexington Residence,82 m²,Đã bàn giao,"42,07 triệu/m²",2 phòng,2 phòng,,,,Đông,Tây,
"961, Đường Hậu Giang, Phường 11, Quận 6, Tp Hồ Chí Minh","2,6 tỷ",,83 m²,Đã bàn giao,"31,33 triệu/m²",2 phòng,2 phòng,15,,,,Tây Bắc,
"Lô A1, Tân Hưng, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","1,45 tỷ",Florita,78 m²,Đã bàn giao,"18,59 triệu/m²",2 phòng,2 phòng,,,,,,
